epoch,time,RMS,MAE
0.0,12.897092819213867,0.09590627500718762,0.08322363793317729
1.0,24.27995800971985,0.04680581707625162,0.03412682092052212
2.0,35.540574073791504,0.04481536982361135,0.032100850332582476
3.0,46.81336784362793,0.04437556432868427,0.032557471167121856
4.0,58.16492176055908,0.03964697799048179,0.02897856963650973
6.0,80.50109601020813,0.03685987625079497,0.026877159131181817
7.0,91.36043810844421,0.03670884795632597,0.02664964756168886
8.0,102.15340995788574,0.03651635879981366,0.026549093316638843
12.0,146.24884676933289,0.03643791538917446,0.026343471024523293
13.0,156.91423106193542,0.03628589142637919,0.026248985393409863
21.0,245.71520113945007,0.036273766234456384,0.026480099133901803
23.0,267.76054787635803,0.03607866535201263,0.026115750463689875
25.0,290.48839592933655,0.035998702907158994,0.0259904901873539
34.0,391.7555139064789,0.03599339314764802,0.026374519413416966
37.0,425.2608859539032,0.03585987107929617,0.025799170432527326
41.0,470.21170592308044,0.035783853424244595,0.025958807466936493
47.0,538.235121011734,0.03571013381892844,0.025853856398322602
51.0,583.6912677288055,0.035627865978415545,0.025827068611980177
52.0,595.1955919265747,0.03551858210551748,0.025729256330852678
54.0,617.3670449256897,0.035512082315417144,0.025741911493418368
56.0,639.9903638362885,0.03551168041960663,0.025729041326068607
61.0,695.2003149986267,0.035509589495329875,0.025687353519655558
65.0,740.3170218467712,0.03550918183087353,0.025782958980149585
73.0,828.5584998130798,0.03549854877259928,0.025766183833645033
76.0,861.8124580383301,0.03549398583578515,0.02579624249457731
84.0,952.8431899547577,0.03548788937979792,0.025688946711428323
86.0,975.4251437187195,0.03548342250329423,0.025788919304896903
87.0,986.7304809093475,0.03548240522372214,0.025768306641291594
94.0,1065.298828125,0.03548042951719352,0.025765938392675554
95.0,1076.9002990722656,0.03547786307585556,0.02570571940687922
98.0,1110.5209300518036,0.035467859786031335,0.025739235256610506
104.0,1177.5959198474884,0.035455103830545905,0.02569215290987667
121.0,1370.270229101181,0.03545454881248572,0.025600115236750157
124.0,1404.2970750331879,0.03545178387720481,0.02575825583936471
125.0,1415.319436788559,0.03544335679433083,0.025666407304190036
126.0,1426.477980852127,0.03543397013018794,0.025709850215036252
134.0,1516.3685908317566,0.03543360171612601,0.02571295659970455
136.0,1538.9978890419006,0.03542984244310004,0.025702044117120595
149.0,1686.5939750671387,0.03542421758349275,0.025719947917800457
152.0,1720.1804690361023,0.0354143314039125,0.02569878381350601
164.0,1856.1289360523224,0.03541425613546299,0.025571198782151198
168.0,1901.8755798339844,0.035401620511973646,0.025704144496688227
172.0,1947.8052470684052,0.0353973890176346,0.02563070018589474
174.0,1970.5360021591187,0.03539710596556395,0.025708533611156437
177.0,2004.556566953659,0.035395421142191366,0.02565268710868216
178.0,2016.2387309074402,0.035392952840677096,0.025611069053201423
180.0,2039.5198290348053,0.035384939487999714,0.0256567515958717
181.0,2050.8450729846954,0.03538425355250025,0.02567680319308427
199.0,2254.3446180820465,0.03537832673428367,0.02560189677782043
200.0,2265.4891221523285,0.035366797959918705,0.025632050468660166
202.0,2288.171635866165,0.035363612024235436,0.025632337658901678
205.0,2321.6853828430176,0.03536268475548069,0.02562751093328748
207.0,2344.609540939331,0.035361986670683326,0.025629238636498113
213.0,2413.8631448745728,0.03536174882302371,0.0256314045815373
219.0,2481.1198468208313,0.035360794077947476,0.025632772212878928
221.0,2503.5875718593597,0.035360578772440046,0.025637889542537196
222.0,2514.881824016571,0.035359803610448784,0.025609650126478402
232.0,2629.2005817890167,0.03535875402003258,0.025616758116783652
246.0,2789.0887348651886,0.03535842894970129,0.025598247716694406
248.0,2811.6310329437256,0.035357919412661504,0.025608626741946486
256.0,2902.3984458446503,0.03535719603583998,0.02560981946476649
258.0,2925.2160818576813,0.035356194037712986,0.025611814287882534
261.0,2958.8092880249023,0.035356046537527705,0.025626879841354838
270.0,3060.053943872452,0.03535453252353366,0.025626956176036535
277.0,3139.7355959415436,0.03535437458841209,0.025619354043435495
290.0,3286.7271699905396,0.03535345440532347,0.025624383125921343
299.0,3389.4538428783417,0.03535288096606411,0.02559600141437741
301.0,3412.3425250053406,0.035352569836491744,0.025603911911224478
312.0,3538.3899908065796,0.03535245284376792,0.025615987342570614
317.0,3594.510151863098,0.035350529015621024,0.025619974620343006
333.0,3773.182466030121,0.035349555351782844,0.02562023557121722
335.0,3796.5163099765778,0.03534731278714405,0.025619387367594657
364.0,4122.523701906204,0.035346583545905974,0.02561220202835112
370.0,4189.9841549396515,0.03534583030814262,0.025619713222000195
389.0,4403.880540847778,0.035345603459297416,0.02560184140165874
395.0,4470.311001777649,0.0353449820402893,0.0256246635112184
402.0,4548.243572950363,0.03534430782458939,0.025629214238780472
404.0,4570.389995098114,0.035343894891342764,0.025617055549761642
405.0,4581.337677717209,0.035343782809154574,0.02562886189598885
412.0,4660.078352928162,0.03534347615611526,0.02562701846749089
426.0,4814.098218917847,0.03534205658667596,0.025615888087069254
438.0,4948.331918954849,0.03534108342676023,0.025603169751070638
449.0,5071.603338003159,0.03534093372148905,0.025628030766377156
452.0,5104.801058769226,0.03533945807722592,0.02560853050730645
472.0,5325.122240066528,0.03533886305680479,0.025603365209080013
474.0,5346.900838851929,0.0353373475906703,0.02561764025536182
481.0,5424.530806064606,0.03533650932878387,0.025596572875729123
